absEta_0_1-R9_0.940_1.000-gainEle_12	runNumber	307042	307063	1.002	0.00059	0.0	0.00086	0.0
absEta_0_1-R9_0.000_0.940-gainEle_12	runNumber	307042	307063	1.0053	0.00059	0.0	0.00068	0.0
absEta_0_1-R9_0.940_1.000-gainEle_12	runNumber	306929	306929	1.0099	0.00542	0.0	0.00086	0.0
absEta_0_1-R9_0.000_0.940-gainEle_12	runNumber	306929	306929	1.0132	0.00542	0.0	0.00068	0.0
absEta_0_1-R9_0.940_1.000-gainEle_12	runNumber	307082	307082	1.0016	0.001	0.0	0.00086	0.0
absEta_0_1-R9_0.000_0.940-gainEle_12	runNumber	307082	307082	1.0049	0.001	0.0	0.00068	0.0
absEta_0_1-R9_0.940_1.000-gainEle_12	runNumber	306936	306936	1.0055	0.001	0.0	0.00086	0.0
absEta_0_1-R9_0.000_0.940-gainEle_12	runNumber	306936	306936	1.0088	0.001	0.0	0.00068	0.0
absEta_0_1-R9_0.940_1.000-gainEle_12	runNumber	307073	307076	1.0018	0.00083	0.0	0.00086	0.0
absEta_0_1-R9_0.000_0.940-gainEle_12	runNumber	307073	307076	1.0051	0.00083	0.0	0.00068	0.0
absEta_0_1-R9_0.940_1.000-gainEle_12	runNumber	307014	307017	1.0017	0.00074	0.0	0.00086	0.0
absEta_0_1-R9_0.000_0.940-gainEle_12	runNumber	307014	307017	1.005	0.00074	0.0	0.00068	0.0
absEta_1.566_2-R9_0.940_1.000-gainEle_12	runNumber	307042	307063	1.0195	0.00205	0.0	0.00122	0.0
absEta_1.566_2-R9_0.000_0.940-gainEle_12	runNumber	307042	307063	1.0292	0.00205	0.0	0.00152	0.0
absEta_1.566_2-R9_0.940_1.000-gainEle_12	runNumber	306929	306929	1.0175	0.01018	0.0	0.00122	0.0
absEta_1.566_2-R9_0.000_0.940-gainEle_12	runNumber	306929	306929	1.0272	0.01018	0.0	0.00152	0.0
absEta_1.566_2-R9_0.940_1.000-gainEle_12	runNumber	307082	307082	1.0165	0.00403	0.0	0.00122	0.0
absEta_1.566_2-R9_0.000_0.940-gainEle_12	runNumber	307082	307082	1.0262	0.00403	0.0	0.00152	0.0
absEta_1.566_2-R9_0.940_1.000-gainEle_12	runNumber	306936	306936	1.0197	0.00332	0.0	0.00122	0.0
absEta_1.566_2-R9_0.000_0.940-gainEle_12	runNumber	306936	306936	1.0294	0.00332	0.0	0.00152	0.0
absEta_1.566_2-R9_0.940_1.000-gainEle_12	runNumber	307073	307076	1.0162	0.00266	0.0	0.00122	0.0
absEta_1.566_2-R9_0.000_0.940-gainEle_12	runNumber	307073	307076	1.0259	0.00266	0.0	0.00152	0.0
absEta_1.566_2-R9_0.940_1.000-gainEle_12	runNumber	307014	307017	1.015	0.00268	0.0	0.00122	0.0
absEta_1.566_2-R9_0.000_0.940-gainEle_12	runNumber	307014	307017	1.0247	0.00268	0.0	0.00152	0.0
absEta_1_1.4442-R9_0.000_0.940-gainEle_12	runNumber	307042	307063	1.0024	0.00194	0.0	0.00049	0.0
absEta_1_1.4442-R9_0.940_1.000-gainEle_12	runNumber	307042	307063	0.9958	0.00194	0.0	0.0017	0.0
absEta_1_1.4442-R9_0.000_0.940-gainEle_12	runNumber	306929	306929	1.0035	0.02043	0.0	0.00049	0.0
absEta_1_1.4442-R9_0.940_1.000-gainEle_12	runNumber	306929	306929	0.9969	0.02043	0.0	0.0017	0.0
absEta_1_1.4442-R9_0.000_0.940-gainEle_12	runNumber	307082	307082	1.0056	0.00407	0.0	0.00049	0.0
absEta_1_1.4442-R9_0.940_1.000-gainEle_12	runNumber	307082	307082	0.999	0.00407	0.0	0.0017	0.0
absEta_1_1.4442-R9_0.000_0.940-gainEle_12	runNumber	306936	306936	1.0087	0.003	0.0	0.00049	0.0
absEta_1_1.4442-R9_0.940_1.000-gainEle_12	runNumber	306936	306936	1.0021	0.003	0.0	0.0017	0.0
absEta_1_1.4442-R9_0.000_0.940-gainEle_12	runNumber	307073	307076	1.0056	0.00312	0.0	0.00049	0.0
absEta_1_1.4442-R9_0.940_1.000-gainEle_12	runNumber	307073	307076	0.999	0.00312	0.0	0.0017	0.0
absEta_1_1.4442-R9_0.000_0.940-gainEle_12	runNumber	307014	307017	1.0014	0.00234	0.0	0.00049	0.0
absEta_1_1.4442-R9_0.940_1.000-gainEle_12	runNumber	307014	307017	0.9948	0.00234	0.0	0.0017	0.0
absEta_2_2.5-R9_0.000_0.940-gainEle_12	runNumber	307082	307082	1.0367	0.0044	0.0	0.00198	0.0
absEta_2_2.5-R9_0.940_1.000-gainEle_12	runNumber	307082	307082	1.0224	0.0044	0.0	0.00223	0.0
absEta_2_2.5-R9_0.000_0.940-gainEle_12	runNumber	306929	306929	1.0196	0.01017	0.0	0.00198	0.0
absEta_2_2.5-R9_0.940_1.000-gainEle_12	runNumber	306929	306929	1.0056	0.01017	0.0	0.00223	0.0
absEta_2_2.5-R9_0.000_0.940-gainEle_12	runNumber	306936	306936	1.0351	0.00371	0.0	0.00198	0.0
absEta_2_2.5-R9_0.940_1.000-gainEle_12	runNumber	306936	306936	1.0208	0.00371	0.0	0.00223	0.0
absEta_2_2.5-R9_0.000_0.940-gainEle_12	runNumber	307073	307076	1.0362	0.00349	0.0	0.00198	0.0
